id,user_id,short_code,original_url,title,is_active,created_at,updated_at
1,1,dKbJ2q,https://opswise.net/quiet/valley/1,Launch deck pioneer,True,2025-12-18 10:24:26,2026-01-15 21:40:47
2,215,Eg80MF,https://opswise.net/proud/pioneer/2,Roadmap update signal,True,2025-12-01 04:40:47,2026-02-05 17:43:09
3,193,8OoV86,https://example.com/forest/canyon/3,Alert feed river,True,2026-02-08 21:59:42,2026-02-16 12:24:47
4,55,uVDFL4,https://opswise.net/young/river/4,Incident notes kernel,False,2025-07-25 13:36:48,2025-08-30 15:09:37
5,82,giFxwc,https://acme.dev/silver/uplink/5,Quarterly brief journey,True,2025-05-17 21:24:39,2025-06-02 05:04:47
6,344,Xfo9We,https://opswise.net/forest/garden/6,Incident notes trail,True,2026-02-06 23:52:26,2026-02-11 23:55:34
7,44,myMEiL,https://acme.dev/dawn/valley/7,Campaign page beacon,True,2025-08-09 02:48:06,2025-10-15 18:53:45
8,394,w9Fhs9,https://seeded.app/rapid/delta/8,Alert feed engine,True,2025-04-18 06:25:33,2025-12-29 13:31:17
9,101,bhrbWC,https://seeded.app/ember/uplink/9,Quarterly brief island,True,2025-09-05 01:50:32,2025-11-21 10:16:32
10,86,KY0rmX,https://relay.cloud/harbor/lagoon/10,Service guide orbit,True,2025-07-25 05:54:05,2025-10-13 23:33:05
11,251,qjx2wA,https://opswise.net/ivory/pioneer/11,Launch deck uplink,True,2025-12-31 12:41:11,2026-01-12 05:49:54
12,267,ygA8Qw,https://opswise.net/proud/canyon/12,Launch deck island,True,2025-02-26 10:47:30,2025-09-29 04:59:17
13,364,zwNDg7,https://acme.dev/clear/beacon/13,Launch deck zenith,True,2025-10-04 22:49:57,2026-02-12 19:05:27
14,125,xdeP0Q,https://example.com/clear/garden/14,Ops review journey,True,2025-10-12 20:50:23,2025-10-25 17:32:27
15,378,3XoEOe,https://seeded.app/opal/island/15,Service guide quartz,True,2025-11-18 09:16:18,2026-01-25 23:44:52
16,256,yItMZV,https://example.com/urban/field/16,Alert feed window,True,2025-09-03 13:19:06,2025-11-18 04:37:15
17,296,7kl5U7,https://acme.dev/quiet/meadow/17,Service guide quartz,True,2025-03-27 05:33:30,2025-10-14 23:25:28
18,139,IECjqf,https://opswise.net/brisk/beacon/18,Ops review lagoon,True,2026-01-28 07:12:20,2026-02-09 03:43:47
19,354,H5TlmS,https://example.com/amber/delta/19,Status board quartz,False,2025-02-13 21:00:51,2025-07-07 11:04:12
20,144,uGP35E,https://seeded.app/vivid/beacon/20,Campaign page signal,True,2025-04-02 15:21:19,2026-01-20 02:52:48
21,400,7bfRzj,https://opswise.net/urban/engine/21,Ops review harvest,True,2025-03-06 02:43:15,2025-06-20 12:36:34
22,390,WmaXFe,https://opswise.net/lively/yard/22,Quarterly brief yard,True,2025-01-27 01:29:01,2026-02-09 22:29:54
23,354,oc9m8l,https://hackstack.io/keen/lagoon/23,Alert feed canyon,True,2025-03-22 09:54:51,2025-12-08 16:03:49
24,301,vzudyW,https://acme.dev/cobalt/window/24,Status board kernel,True,2025-04-14 20:19:07,2026-01-02 16:41:21
25,230,kcDltP,https://example.com/cobalt/delta/25,Service guide kernel,False,2025-09-08 03:36:51,2025-10-03 21:58:37
26,73,sCtbkw,https://acme.dev/navy/valley/26,Incident notes signal,True,2025-12-28 23:35:55,2026-01-17 01:52:08
